entry_id,conformer_id,species,status,failure_mode,cpu_model,record_sha256,initial_runner_walltime,scheduler_walltime_hours,scheduler_walltime_evidence_sha256,opt_electronic_energy_hartree,cosmo_solute_energy_hartree,cavity_volume_bohr3,cavity_volume_angstrom3,surface_sha256,archive_path,input_inchikey,perceived_inchikey,relative_opt_energy_kj_mol,raw_row_boltzmann_weight_298K,merged_into,unique_representative_boltzmann_weight_298K
pe__config_1010,config_1010,pe,converged,,AMD EPYC 7763 64-Core Processor,e5d19f339fbb0ce8f4926407269f17d2ccbeafeaf6c427c3b85bf250f317fa5d,72:00:00,3,abd9271b9b143a236e2f2fe73210a324659591ca9824aaad84370b48303f4a39,-473.09462202676,-473.104251571982,1746.489603199,258.8030579641184,fe11393a5fcf1bc938a7be857a6e5be97354c3ac33541b1a8e1b2a5843f43399,/mnt/r/plastchem-euler/polymer-v1/results/pe__config_1010,SNRUBQQJIBEYMU-UHFFFAOYSA-N,SNRUBQQJIBEYMU-UHFFFAOYSA-N,14.095159042134517,0.001121589167433458,,0.0018967305797896866
pe__config_1130,config_1130,pe,converged,,AMD EPYC 7763 64-Core Processor,8eb8e6d96aa701fd86b5f8464f1d7680b66ff4a115adda2854173c14f2a2e949,72:00:00,3,abd9271b9b143a236e2f2fe73210a324659591ca9824aaad84370b48303f4a39,-473.09221432945,-473.101866890991,1751.613967158,259.56241035893436,b2c23709f5394eb5288b73513efb56c1a76fa78048fe0526e2daaffb709d8512,/mnt/r/plastchem-euler/polymer-v1/results/pe__config_1130,SNRUBQQJIBEYMU-UHFFFAOYSA-N,SNRUBQQJIBEYMU-UHFFFAOYSA-N,20.416567461641616,8.75731487308316e-05,,0.00014809582152646217
pe__config_1600,config_1600,pe,converged,,AMD EPYC 7763 64-Core Processor,60bb16cc2c58fe7de72183c755d48ddab6271ec8a1c7a911bb50d0097d9de668,72:00:00,3,abd9271b9b143a236e2f2fe73210a324659591ca9824aaad84370b48303f4a39,-473.097207467718,-473.106910614039,1755.726733844,260.1718595037103,92decc00fa697f3536c86e2652b97cd47274bd569b122de7133c2e6f35e10e22,/mnt/r/plastchem-euler/polymer-v1/results/pe__config_1600,SNRUBQQJIBEYMU-UHFFFAOYSA-N,SNRUBQQJIBEYMU-UHFFFAOYSA-N,7.307084739007329,0.017340154897308536,,0.029324108155641827
pe__config_1720,config_1720,pe,converged,,AMD EPYC 7763 64-Core Processor,666c2b215297a7b239790e8a7b53d289d008e71cd923ab3354c20f0af7874628,72:00:00,3,abd9271b9b143a236e2f2fe73210a324659591ca9824aaad84370b48303f4a39,-473.093257364168,-473.102889079936,1745.867118462,258.71081524296136,7305be455b2173b32df867fb38892f1b5f6e1c2b01d9f58164e49357f5515e9b,/mnt/r/plastchem-euler/polymer-v1/results/pe__config_1720,SNRUBQQJIBEYMU-UHFFFAOYSA-N,SNRUBQQJIBEYMU-UHFFFAOYSA-N,17.678080185543863,0.00026432191930671184,,0.0004469974227773437
pe__config_1940,config_1940,pe,converged,,AMD EPYC 7763 64-Core Processor,f32988a2df339ad2f3666082cd9aa01be1cf1bca6888fc20ac9047761cf1ef92,72:00:00,3,abd9271b9b143a236e2f2fe73210a324659591ca9824aaad84370b48303f4a39,-473.095855191527,-473.105546850481,1747.751355962,258.99003043327076,1d8da7a517c0946b6a08591c422670f6c589846f8c007a0d8b3d646b0a28499a,/mnt/r/plastchem-euler/polymer-v1/results/pe__config_1940,SNRUBQQJIBEYMU-UHFFFAOYSA-N,SNRUBQQJIBEYMU-UHFFFAOYSA-N,10.857485391028773,0.004140470448166458,,0.00700199069479579
pe__config_1950,config_1950,pe,converged,,AMD EPYC 7763 64-Core Processor,8508b52610cd00f0a1e64ccce50254f4381eab54bdf52b35338a4d64f70ca080,72:00:00,3,abd9271b9b143a236e2f2fe73210a324659591ca9824aaad84370b48303f4a39,-473.094559735989,-473.104228565891,1747.784369288,258.9949225034593,81fad87449ba2b2778c3e83fc523e7c6c01df8f1ab1d3add1d88242adb7000cb,/mnt/r/plastchem-euler/polymer-v1/results/pe__config_1950,SNRUBQQJIBEYMU-UHFFFAOYSA-N,SNRUBQQJIBEYMU-UHFFFAOYSA-N,14.258703439045082,0.0010499825160357505,,0.0017756358604699856
pe__config_1960,config_1960,pe,converged,,AMD EPYC 7763 64-Core Processor,024cb112c8c74365d1da0ad3e18c7dbd3dfe3d7e3debf2fa0ed433a9647188f6,72:00:00,3,abd9271b9b143a236e2f2fe73210a324659591ca9824aaad84370b48303f4a39,-473.094559735154,-473.104228568212,1747.785956676,258.9951577300921,172fc22ea2112d4d5dc175bccc64655f48a25d4391243dd9b5670e497e18a886,/mnt/r/plastchem-euler/polymer-v1/results/pe__config_1960,SNRUBQQJIBEYMU-UHFFFAOYSA-N,SNRUBQQJIBEYMU-UHFFFAOYSA-N,14.25870563126634,0.001049981587502925,pe__config_1950,0.0
pe__config_1990,config_1990,pe,converged,,AMD EPYC 7763 64-Core Processor,9c0733d565ea47e558bd864a4ee94086a131f971a734f14052955200982bae20,72:00:00,3,abd9271b9b143a236e2f2fe73210a324659591ca9824aaad84370b48303f4a39,-473.090720717695,-473.100380731869,1748.097001837,259.04124986753413,2b50cd2a1389dae84216fcba29bd705ff409a0de0a9b547f9c41b71461614898,/mnt/r/plastchem-euler/polymer-v1/results/pe__config_1990,SNRUBQQJIBEYMU-UHFFFAOYSA-N,SNRUBQQJIBEYMU-UHFFFAOYSA-N,24.338044585904118,1.800353952845805e-05,,3.0445964493594055e-05
pe__config_2070,config_2070,pe,converged,,AMD EPYC 7763 64-Core Processor,29b65c4b56fe2530d90b044c3acfb4d33ebdac70a6b86efdd659c5a082b2b43e,72:00:00,3,abd9271b9b143a236e2f2fe73210a324659591ca9824aaad84370b48303f4a39,-473.09455973377,-473.104228540968,1747.786578468,258.9952498701602,28be5c68153c5080ec4a2bcc2e368733b48f7395590c6cd80fab27ae0a8f2d65,/mnt/r/plastchem-euler/polymer-v1/results/pe__config_2070,SNRUBQQJIBEYMU-UHFFFAOYSA-N,SNRUBQQJIBEYMU-UHFFFAOYSA-N,14.258709265019704,0.0010499800483994702,pe__config_1950,0.0
pe__config_2180,config_2180,pe,converged,,AMD EPYC 7763 64-Core Processor,12d52034b3f175b9b3beb00e4a40801f141dd2c7db8f7e342f101a7d343af8f6,72:00:00,3,abd9271b9b143a236e2f2fe73210a324659591ca9824aaad84370b48303f4a39,-473.093379625227,-473.102994233326,1749.80133861,259.29380652051685,a023d76a74ce99f0e97ec61184e19e1a876f2ca8daee0a430ca4af7d143b7bf6,/mnt/r/plastchem-euler/polymer-v1/results/pe__config_2180,SNRUBQQJIBEYMU-UHFFFAOYSA-N,SNRUBQQJIBEYMU-UHFFFAOYSA-N,17.357083819204295,0.00030086336565957305,,0.000508793025605621
